timestamp,pair,rate,base
2026-05-01 23:49:47,USD/IRR,1233794.062752,USD
2026-05-01 23:49:47,USD/EUR,0.853339,USD
2026-05-01 23:49:47,USD/SAR,3.75,USD
2026-05-01 23:49:47,USD/CNY,6.840908,USD
2026-05-01 23:49:47,USD/NOK,9.291767,USD
2026-05-01 23:49:47,USD/PHP,61.435668,USD
2026-05-01 23:49:47,USD/INR,94.978597,USD
2026-05-01 23:49:47,USD/IDR,17308.21837,USD
2026-05-01 23:49:47,USD/GBP,0.737561,USD
2026-05-01 23:49:47,USD/JPY,157.16387,USD
2026-05-01 23:49:47,USD/BRL,4.990919,USD
2026-05-01 23:49:47,USD/AED,3.6725,USD
2026-05-01 23:49:47,USD/KWD,0.307958,USD
2026-05-01 23:49:47,USD/KRW,1475.699372,USD
2026-05-01 23:49:47,USD/MXN,17.502106,USD
2026-05-01 23:49:47,USD/CAD,1.361227,USD
2026-05-02 00:11:36,USD/IDR,17308.21837,USD
2026-05-02 00:11:36,USD/EUR,0.853339,USD
2026-05-02 00:11:36,USD/KWD,0.307958,USD
2026-05-02 00:11:36,USD/IRR,1233794.062752,USD
2026-05-02 00:11:36,USD/JPY,157.16387,USD
2026-05-02 00:11:36,USD/KRW,1475.699372,USD
2026-05-02 00:11:36,USD/GBP,0.737561,USD
2026-05-02 00:11:36,USD/BRL,4.990919,USD
2026-05-02 00:11:36,USD/AED,3.6725,USD
2026-05-02 00:11:36,USD/MXN,17.502106,USD
2026-05-02 00:11:36,USD/SAR,3.75,USD
2026-05-02 00:11:36,USD/NOK,9.291767,USD
2026-05-02 00:11:36,USD/INR,94.978597,USD
2026-05-02 00:11:36,USD/PHP,61.435668,USD
2026-05-02 00:11:36,USD/CAD,1.361227,USD
2026-05-02 00:11:36,USD/CNY,6.840908,USD
2026-05-02 01:08:09,USD/IDR,17347.982345,USD
2026-05-02 01:08:09,USD/CAD,1.359308,USD
2026-05-02 01:08:09,USD/GBP,0.737317,USD
2026-05-02 01:08:09,USD/KRW,1473.124555,USD
2026-05-02 01:08:09,USD/INR,95.041538,USD
2026-05-02 01:08:09,USD/KWD,0.307611,USD
2026-05-02 01:08:09,USD/EUR,0.852919,USD
2026-05-02 01:08:09,USD/MXN,17.483295,USD
2026-05-02 01:08:09,USD/IRR,1251912.535134,USD
2026-05-02 01:08:09,USD/PHP,61.400491,USD
2026-05-02 01:08:09,USD/BRL,4.974579,USD
2026-05-02 01:08:09,USD/NOK,9.292889,USD
2026-05-02 01:08:09,USD/CNY,6.83733,USD
2026-05-02 01:08:09,USD/AED,3.6725,USD
2026-05-02 01:08:09,USD/JPY,157.08115,USD
2026-05-02 01:08:09,USD/SAR,3.75,USD
2026-05-02 01:55:13,USD/BRL,4.974579,USD
2026-05-02 01:55:13,USD/IRR,1251912.535134,USD
2026-05-02 01:55:13,USD/AED,3.6725,USD
2026-05-02 01:55:13,USD/SAR,3.75,USD
